ID,CharacterName,DialogueText,PortraitName,BGMName,BackgroundName
1021,神秘人,少主醒过来了,Man,Witch,000000
1021,魔女,要藏进去的东西，都藏好了吗？,,Witch,000000
1021,神秘人,十分感谢您的鼎力相助。,Man,Witch,000000
1021,魔女,无妨。（望向照片）魔法塔太暗，少主是有壮志之人，这里的阴影永生不该笼罩在少主身上。,,Witch,000000
1021,神秘人,可是，少主现在似乎失忆了……如果一切都和少主的记忆一起复苏，世界是否还会像我们所想的一样发展？,Man,Witch,000000
1021,魔女,自古命运与破坏相生。福祸相依，强弱共存，世上没有不染凡尘的正义，自然没有跳出设想的可能。,,Witch,000000
1021,神秘人,好。（微顿）可是……算了，少主的命运，他自己来掌握。,Man,Witch,000000
1022,,她的窗口有一个风铃。,,Girlscollection,000000
1022,,她的房间在高塔之上，被烬盟术力保护的最高层。她每日相伴的只有怀里的娃娃，和风声拂过风铃产生的叮咚乐章——甚至连风声都是她的父亲设定好的。,,Girlscollection,000000
1022,,因为担心别人利用自然之力，构成魅惑她的音乐，而后控制她来要挟父亲。,,Girlscollection,000000
1022,小女孩,黑猫黑猫，我的生活好无聊啊。,,Girlscollection,000000
1022,小女孩,黑猫黑猫，你说，我的生活什么时候才会有一点变化呢？,,Girlscollection,000000
1022,小女孩,凌晨十二点了，我的窗口还是白昼。黑夜是什么样的呢？,,Girlscollection,000000
1022,,没有东西可以回答她，只有窗口的风铃发出日复一日、一模一样的声音。,,Girlscollection,000000
1023,小孩,妈妈，我好冷哦。,,Theskythere,000000
1023,母亲,宝贝，妈妈给你生一点火哦。别怕。,,Theskythere,000000
1023,,母亲指尖的火焰蹿升了几秒，短暂地为小孩带来了一些光芒——在火焰燃及角落里蛛网的那一秒，栖息着的蝙蝠从牢笼中飞出，蛛网也别燃成灰烬，连带着母亲如昙花般的火焰，一同消散在潮湿的空气里。,,Theskythere,000000
1023,小孩,妈妈，我好像听到风铃声了。,,Theskythere,000000
1023,母亲,乖宝贝，乖，这是世界传递给我们的礼物。,,Theskythere,000000
1023,,母亲的眼泪无声地掉在地上，落到她脚边的头骨中，犹如上一个为魔法的“发展”而牺牲的人所留下的珍贵印记。,,Theskythere,000000
102,我,（不是说好会知道一切的吗，完全就什么都没说啊！）,,Dialogueafter,
102,我,（魔法世界game里不是这样的！）,,Dialogueafter,
102,我,（面具合成结束后，地面上莫名其妙地出现了一个法阵，我就被传送到这里了——这个好像有个舞会的地方。面具牢牢地戴在我的脸上，我甚至不知道它什么时候出现的。拜托，这么玄乎为什么不提前通知我！）,,Dialogueafter,
102,人群,（窃窃私语）那不是苍庭的少主吗？,,Dialogueafter,
102,人群,天呢，他活着回来了？真不敢置信，那么强劲的火系魔法……魔法塔出身的人真是不一样！,,Dialogueafter,
102,人群,烬盟派可真够绝的！好吧，这下烬盟派称霸的愿望要落空了吧，我相信苍庭派更适合这个大陆！,,Dialogueafter,
102,我,（这么大声讨论，都当我听不见吗……这众望所归的天命之子到底是什么人设啊……）,,Dialogueafter,
102,男人,苍庭少主，好久不见了。,,Dialogueafter,
102,,【未完待续】,,Dialogueafter,
